"13/09/18, 19:10"
"11/02/18, 11:09"
"8/02/18, 18:32"
"8/02/18, 18:32"
"6/02/18, 11:11"
"6/02/18, 11:11"
"26/01/18, 15:33"
"21/01/18, 11:29"
"18/01/18, 12:32"
"15/01/18, 14:44"
"15/01/18, 14:43"
"15/01/18, 12:20"
"15/01/18, 12:20"
"15/01/18, 12:20"
"15/01/18, 12:19"
"15/01/18, 12:19"
"15/01/18, 12:19"
"6/01/18, 17:59"
"2/01/18, 16:34"
"2/01/18, 16:26"
"2/01/18, 16:26"
"1/12/17, 11:46"
"1/12/17, 11:46"
"1/12/17, 11:46"
"1/12/17, 11:46"
"30/11/17, 18:50"
"30/11/17, 18:50"
"30/11/17, 18:49"
"30/11/17, 18:49"
"30/11/17, 18:49"
"30/11/17, 18:49"
"30/11/17, 18:45"
"30/11/17, 18:45"
"28/11/17, 20:45"
"28/11/17, 20:45"
"14/11/17, 08:15"
"14/11/17, 08:15"
"14/11/17, 08:14"
"17/10/17, 19:09"
"6/10/17, 15:10"
